N_Series,Series_ID,Horizon,MAE,RMSE
10,MT_001,96,0.763719958059378,1.182066753110058
10,MT_002,96,2.076384058237188,2.8019934119901397
10,MT_003,96,0.1569239015065527,0.44314712755681235
10,MT_004,96,10.451502126729885,13.288156412745339
10,MT_005,96,10.497521201769521,12.678935376003011
10,MT_006,96,17.987252980943726,22.999342639935758
10,MT_007,96,0.5489248130740777,0.7162939557889584
10,MT_008,96,17.490042444565223,21.033413714891047
10,MT_009,96,8.151290383650151,9.548305377727699
10,MT_010,96,3.8828103506009626,5.1325262362340025
50,MT_001,96,0.763719958059378,1.182066753110058
50,MT_002,96,2.076384058237188,2.8019934119901397
50,MT_003,96,0.1569239015065527,0.44314712755681235
50,MT_004,96,10.451502126729885,13.288156412745339
50,MT_005,96,10.497521201769521,12.678935376003011
50,MT_006,96,17.987252980943726,22.999342639935758
50,MT_007,96,0.5489248130740777,0.7162939557889584
50,MT_008,96,17.490042444565223,21.033413714891047
50,MT_009,96,8.151290383650151,9.548305377727699
50,MT_010,96,3.8828103506009626,5.1325262362340025
50,MT_011,96,3.646959022568396,4.734394847141579
50,MT_012,96,12.719548367439417,16.85315050692157
50,MT_013,96,11.47507671910535,15.778240633228265
50,MT_014,96,4.88145599230075,6.33477120848861
50,MT_015,96,4.8202634632751655,6.429150130453827
50,MT_016,96,2.4994514402604584,3.2760680664413195
50,MT_017,96,4.810091900268545,6.256780239355758
50,MT_018,96,33.050079362460934,47.09130925355678
50,MT_019,96,0.854645021297226,1.0940546967028155
50,MT_020,96,4.321218221110567,5.994065758668886
50,MT_021,96,13.74186039719905,17.520749418054745
50,MT_022,96,3.9093302225932973,5.307078735835751
50,MT_023,96,2.583906525252884,3.297686851179538
50,MT_024,96,4.398192893057911,5.847395925703161
50,MT_025,96,21.12948778113846,26.92368947434568
50,MT_026,96,2.7614003414824917,3.461405014820022
50,MT_027,96,2.0510763743641998,2.527457140874555
50,MT_028,96,7.075456915737001,9.075810673969364
50,MT_029,96,17.591949989441872,25.525726008291176
50,MT_030,96,5.4346901297919645,6.974616850324201
50,MT_031,96,8.913616724181578,11.845849737085723
50,MT_032,96,2.6364548923386204,3.350438292432059
50,MT_033,96,2.477121594752213,3.136329775200483
50,MT_034,96,2.123466570506109,2.7750805923132864
50,MT_035,96,11.902456534618649,19.549143583622257
50,MT_036,96,3.924390070785831,6.218593985529365
50,MT_037,96,6.1269887651188695,8.047914221032112
50,MT_038,96,10.539909717300159,13.524866600540534
50,MT_039,96,5.161589871132423,6.832184500318958
50,MT_040,96,7.188668157373159,9.592839723687804
50,MT_041,96,7.84837852463579,9.413473593514487
50,MT_042,96,4.123678609634138,5.405958562219726
50,MT_043,96,212.57619447419157,274.9658445947736
50,MT_044,96,3.857324484064384,5.161032717714817
50,MT_045,96,12.786094637086558,17.98180685520789
50,MT_046,96,13.159767640145532,16.494875908444047
50,MT_047,96,2.72596192612486,3.590245146159026
50,MT_048,96,1.7793350566094759,2.2289586906178007
50,MT_049,96,89.66080972422704,103.13482859343006
50,MT_050,96,20.687445462669185,26.954104211934318
370,MT_001,96,0.763719958059378,1.182066753110058
370,MT_002,96,2.076384058237188,2.8019934119901397
370,MT_003,96,0.1569239015065527,0.44314712755681235
370,MT_004,96,10.451502126729885,13.288156412745339
370,MT_005,96,10.497521201769521,12.678935376003011
370,MT_006,96,17.987252980943726,22.999342639935758
370,MT_007,96,0.5489248130740777,0.7162939557889584
370,MT_008,96,17.490042444565223,21.033413714891047
370,MT_009,96,8.151290383650151,9.548305377727699
370,MT_010,96,3.8828103506009626,5.1325262362340025
370,MT_011,96,3.646959022568396,4.734394847141579
370,MT_012,96,12.719548367439417,16.85315050692157
370,MT_013,96,11.47507671910535,15.778240633228265
370,MT_014,96,4.88145599230075,6.33477120848861
370,MT_015,96,4.8202634632751655,6.429150130453827
370,MT_016,96,2.4994514402604584,3.2760680664413195
370,MT_017,96,4.810091900268545,6.256780239355758
370,MT_018,96,33.050079362460934,47.09130925355678
370,MT_019,96,0.854645021297226,1.0940546967028155
370,MT_020,96,4.321218221110567,5.994065758668886
370,MT_021,96,13.74186039719905,17.520749418054745
370,MT_022,96,3.9093302225932973,5.307078735835751
370,MT_023,96,2.583906525252884,3.297686851179538
370,MT_024,96,4.398192893057911,5.847395925703161
370,MT_025,96,21.12948778113846,26.92368947434568
370,MT_026,96,2.7614003414824917,3.461405014820022
370,MT_027,96,2.0510763743641998,2.527457140874555
370,MT_028,96,7.075456915737001,9.075810673969364
370,MT_029,96,17.591949989441872,25.525726008291176
370,MT_030,96,5.4346901297919645,6.974616850324201
370,MT_031,96,8.913616724181578,11.845849737085723
370,MT_032,96,2.6364548923386204,3.350438292432059
370,MT_033,96,2.477121594752213,3.136329775200483
