Model,Series_ID,Horizon,MAE,RMSE
Chronos-2,MT_001,96,0.763719958059378,1.182066753110058
Chronos-2,MT_002,96,2.076384058237188,2.8019934119901397
Chronos-2,MT_003,96,0.1569239015065527,0.44314712755681235
Chronos-2,MT_004,96,10.451502126729885,13.288156412745339
Chronos-2,MT_005,96,10.497521201769521,12.678935376003011
Chronos-2,MT_006,96,17.987252980943726,22.999342639935758
Chronos-2,MT_007,96,0.5489248130740777,0.7162939557889584
Chronos-2,MT_008,96,17.490042444565223,21.033413714891047
Chronos-2,MT_009,96,8.151290383650151,9.548305377727699
Chronos-2,MT_010,96,3.8828103506009626,5.1325262362340025
Chronos-2,MT_011,96,3.646959022568396,4.734394847141579
Chronos-2,MT_012,96,12.719548367439417,16.85315050692157
Chronos-2,MT_013,96,11.47507671910535,15.778240633228265
Chronos-2,MT_014,96,4.88145599230075,6.33477120848861
Chronos-2,MT_015,96,4.8202634632751655,6.429150130453827
Chronos-2,MT_016,96,2.4994514402604584,3.2760680664413195
Chronos-2,MT_017,96,4.810091900268545,6.256780239355758
Chronos-2,MT_018,96,33.050079362460934,47.09130925355678
Chronos-2,MT_019,96,0.854645021297226,1.0940546967028155
Chronos-2,MT_020,96,4.321218221110567,5.994065758668886
Chronos-2,MT_021,96,13.74186039719905,17.520749418054745
Chronos-2,MT_022,96,3.9093302225932973,5.307078735835751
Chronos-2,MT_023,96,2.583906525252884,3.297686851179538
Chronos-2,MT_024,96,4.398192893057911,5.847395925703161
Chronos-2,MT_025,96,21.12948778113846,26.92368947434568
Chronos-2,MT_026,96,2.7614003414824917,3.461405014820022
Chronos-2,MT_027,96,2.0510763743641998,2.527457140874555
Chronos-2,MT_028,96,7.075456915737001,9.075810673969364
Chronos-2,MT_029,96,17.591949989441872,25.525726008291176
Chronos-2,MT_030,96,5.4346901297919645,6.974616850324201
Chronos-2,MT_031,96,8.913616724181578,11.845849737085723
Chronos-2,MT_032,96,2.6364548923386204,3.350438292432059
Chronos-2,MT_033,96,2.477121594752213,3.136329775200483
Chronos-2,MT_034,96,2.123466570506109,2.7750805923132864
Chronos-2,MT_035,96,11.902456534618649,19.549143583622257
Chronos-2,MT_036,96,3.924390070785831,6.218593985529365
Chronos-2,MT_037,96,6.1269887651188695,8.047914221032112
Chronos-2,MT_038,96,10.539909717300159,13.524866600540534
Chronos-2,MT_039,96,5.161589871132423,6.832184500318958
Chronos-2,MT_040,96,7.188668157373159,9.592839723687804
Chronos-2,MT_041,96,7.84837852463579,9.413473593514487
Chronos-2,MT_042,96,4.123678609634138,5.405958562219726
Chronos-2,MT_043,96,212.57619447419157,274.9658445947736
Chronos-2,MT_044,96,3.857324484064384,5.161032717714817
Chronos-2,MT_045,96,12.786094637086558,17.98180685520789
Chronos-2,MT_046,96,13.159767640145532,16.494875908444047
Chronos-2,MT_047,96,2.72596192612486,3.590245146159026
Chronos-2,MT_048,96,1.7793350566094759,2.2289586906178007
Chronos-2,MT_049,96,89.66080972422704,103.13482859343006
Chronos-2,MT_050,96,20.687445462669185,26.954104211934318
Chronos-2,MT_051,96,5.2776826069932286,6.634972678445238
Chronos-2,MT_052,96,4.288672646622596,5.716320775979143
Chronos-2,MT_053,96,6.78900827270743,8.997965510673449
Chronos-2,MT_054,96,4.534796748420509,6.081882947490461
Chronos-2,MT_055,96,1.9189475852377427,2.557081550984723
Chronos-2,MT_056,96,2.957019893520465,4.003707763640218
Chronos-2,MT_057,96,5.467148845182911,7.265237858241753
Chronos-2,MT_058,96,7.41504494550114,9.76185525883435
Chronos-2,MT_059,96,20.349602818105325,24.41745410753858
Chronos-2,MT_060,96,2.647479000388476,3.5589468664136548
Chronos-2,MT_061,96,7.440248601863554,9.43758772159723
Chronos-2,MT_062,96,4.187045300649899,5.893697414429005
Chronos-2,MT_063,96,2.9402519963096343,3.960076181799854
Chronos-2,MT_064,96,137.9994210626323,179.17817751830157
Chronos-2,MT_065,96,6.617879867553715,8.228656973095998
Chronos-2,MT_066,96,0.1526919904718821,0.32306604720381804
Chronos-2,MT_067,96,18.655529432129434,24.973699524810062
Chronos-2,MT_068,96,19.94253253973649,24.590302505792422
Chronos-2,MT_069,96,22.71739417993565,26.40632386139785
Chronos-2,MT_070,96,3.2902020609915543,4.385841184805138
Chronos-2,MT_071,96,3.767731599008983,5.173290362287284
Chronos-2,MT_072,96,7.276782105055562,9.674646056384036
